Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Credit_History_Months,Num_Loan_Types,Has_Loan
May,37.0,Entrepreneur,25546.26,2415.855,8.0,7.0,14.0,5.0,16,13.0,7.83,5.0,_,758.44,28.2774200145778,Yes,101.3286373638512,311.99934746655674,Low_spent_Small_value_payments,118.2575151695921,Standard,222.0,5,1
June,37.0,Entrepreneur,25546.26,2415.855,8.0,7.0,14.0,5.0,16,10.0,7.83,5.0,_,758.44,34.58659948959524,Yes,101.3286373638512,61.7307484719951,High_spent_Small_value_payments,338.52611416415374,Standard,,5,1
July,37.0,Entrepreneur,25546.26,2415.855,8.0,7.0,14.0,5.0,16,14.0,10.83,5.0,Standard,758.44,30.099067241911712,Yes,101.3286373638512,130.30039377019006,Low_spent_Small_value_payments,299.9564688659588,Standard,224.0,5,1
August,37.0,Entrepreneur,25546.26,2415.855,8.0,7.0,14.0,5.0,15,13.0,7.83,5.0,Standard,758.44,39.33348789822524,Yes,101.3286373638512,189.8158613334768,Low_spent_Medium_value_payments,230.44100130267208,Standard,225.0,5,1
January,30.0,Scientist,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,8,14.0,6.28,0.0,Standard,818.22,25.36959679239191,Yes,45.14129822463578,81.99883505710139,Low_spent_Medium_value_payments,447.0747000515962,Standard,202.0,2,1
February,30.0,Scientist,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,12,14.0,6.28,0.0,Standard,818.22,37.958569410003335,Yes,45.14129822463578,10000.0,Low_spent_Small_value_payments,157.86980351234496,Standard,203.0,2,1
March,,Scientist,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,8,14.0,10.28,1.0,Standard,818.22,27.38010904580052,Yes,45.14129822463578,264.25708850339777,Low_spent_Small_value_payments,274.8164466052998,Standard,204.0,2,1
April,30.0,Scientist,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,8,14.0,6.28,1.0,_,818.22,34.15826211876792,Yes,45.14129822463578,152.4523258823164,Low_spent_Medium_value_payments,376.6212092263812,Standard,205.0,2,1
May,30.0,Scientist,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,8,14.0,6.28,1.0,Standard,818.22,30.788038803709785,Yes,45.14129822463578,43.47040866689117,High_spent_Medium_value_payments,455.6031264418064,Standard,206.0,2,1
June,31.0,Scientist,31993.78,,6.0,6.0,7.0,2.0,8,14.0,6.28,1.0,Standard,818.22,34.280968719435315,Yes,45.14129822463578,112.7238874320964,High_spent_Small_value_payments,396.3496476766012,Standard,207.0,2,1
July,31.0,Scientist,31993.78,,6.0,6.0,7.0,,8,16.0,6.28,1.0,Standard,818.22,29.503454266447758,Yes,45.14129822463578,104.55723619082671,High_spent_Small_value_payments,404.5162989178708,Standard,208.0,2,1
August,31.0,Scientist,31993.78,2942.148333333333,6.0,6.0,7.0,2.0,8,16.0,6.28,1.0,Standard,818.22,36.012793772472094,Yes,45.14129822463578,97.58820324481088,Low_spent_Large_value_payments,421.4853318638867,Standard,209.0,2,1
January,20.0,Accountant,92047.08,,6.0,7.0,16.0,0.0,16,11.0,9.13,0.0,Standard,1296.64,37.11561494309292,Yes,0.0,154.6341231395093,,854.5248768604907,Standard,350.0,0,0
February,20.0,Accountant,92047.08,7591.59,6.0,7.0,16.0,0.0,16,11.0,9.13,4.0,Standard,1296.64,39.46775837121139,Yes,0.0,710.4953806729873,Low_spent_Medium_value_payments,328.66361932701284,Standard,351.0,0,0
March,20.0,Accountant,92047.08,7591.59,6.0,7.0,16.0,0.0,18,11.0,9.13,4.0,_,1296.64,27.792788363714145,Yes,0.0,175.4456226582996,High_spent_Large_value_payments,823.7133773417005,Standard,352.0,0,0
April,20.0,Accountant,92047.08,7591.59,6.0,7.0,16.0,0.0,16,11.0,9.13,4.0,Standard,1296.64,42.944681681740505,Yes,0.0,120.9075537662222,High_spent_Large_value_payments,878.2514462337779,Poor,,0,0
May,20.0,Accountant,92047.08,7591.59,6.0,7.0,16.0,0.0,16,8.0,9.13,4.0,Standard,1296.64,34.3576502428514,,0.0,78.71934549426288,High_spent_Large_value_payments,920.4396545057372,Poor,354.0,0,0
June,20.0,Accountant,92047.08,7591.59,6.0,7.0,16.0,0.0,16,13.0,13.13,4.0,Standard,1296.64,28.776937743887977,Yes,0.0,266.5850272142179,Low_spent_Small_value_payments,782.5739727857823,Poor,,0,0
July,20.0,Accountant,92047.08,7591.59,6.0,7.0,16.0,0.0,16,10.0,9.13,4.0,_,1296.64,40.75852163733138,Yes,0.0,59.28557022863863,High_spent_Large_value_payments,939.8734297713614,Poor,356.0,0,0
August,20.0,Accountant,92047.08,7591.59,6.0,7.0,16.0,0.0,16,11.0,9.13,4.0,Standard,1296.64,27.727646781775498,Yes,0.0,268.0846032992916,Low_spent_Large_value_payments,761.0743967007086,Poor,357.0,0,0
January,45.0,Teacher,32284.62,2898.385,6.0,7.0,17.0,6.0,11,12.0,9.22,8.0,Standard,1283.37,28.94089258854545,Yes,103.03756035536594,254.86161508896944,Low_spent_Medium_value_payments,211.93932455566463,Standard,77.0,6,1
February,46.0,Teacher,32284.62,2898.385,6.0,7.0,17.0,6.0,11,12.0,9.22,8.0,Standard,1283.37,27.86131019311364,Yes,103.03756035536594,103.21030741657007,Low_spent_Large_value_payments,353.59063222806395,Standard,78.0,6,1
March,46.0,Teacher,32284.62,2898.385,6.0,7.0,17.0,6.0,10,12.0,9.22,8.0,Standard,1283.37,27.88169704475605,Yes,103.03756035536594,35.793568414159616,High_spent_Large_value_payments,391.00737123047446,Standard,79.0,6,1
April,46.0,Teacher,32284.62,2898.385,6.0,7.0,17.0,6.0,11,12.0,9.22,8.0,Standard,1283.37,38.39455822201335,Yes,103.03756035536594,280.21825375922106,Low_spent_Small_value_payments,196.582685885413,Standard,80.0,6,1
May,46.0,Teacher,32284.62,2898.385,6.0,7.0,17.0,6.0,15,,8.22,10.0,_,1283.37,33.23978443489355,Yes,103.03756035536594,154.0197492180297,High_spent_Small_value_payments,292.7811904266044,Standard,81.0,6,1
June,46.0,Teacher,32284.62,2898.385,6.0,7.0,17.0,6.0,11,12.0,8.22,10.0,Standard,1283.37,26.874467413543886,Yes,103.03756035536594,272.2735499123763,Low_spent_Small_value_payments,204.5273897322577,Standard,82.0,6,1
July,46.0,Teacher,32284.62,2898.385,6.0,7.0,17.0,6.0,7,,9.22,10.0,Standard,1283.37,24.20553320227637,Yes,103.03756035536594,10000.0,Low_spent_Small_value_payments,85.90209492602362,Standard,83.0,6,1
August,46.0,Teacher,32284.62,2898.385,6.0,7.0,17.0,6.0,13,12.0,2.2200000000000006,10.0,Standard,1283.37,27.930123710625228,Yes,103.03756035536594,359.7718322852988,Low_spent_Small_value_payments,117.02910735933534,Standard,84.0,6,1
January,26.0,Musician,97791.42,8079.285,6.0,6.0,12.0,0.0,18,8.0,17.92,1.0,Standard,107.41,25.71557884311532,Yes,0.0,451.24651936958776,Low_spent_Small_value_payments,646.6819806304122,Standard,326.0,0,0
February,26.0,Musician,97791.42,8079.285,6.0,6.0,12.0,0.0,18,8.0,11.920000000000002,1.0,_,107.41,28.711202517052943,Yes,0.0,322.7203197056673,Low_spent_Large_value_payments,755.2081802943327,Standard,327.0,0,0
March,26.0,Musician,97791.42,8079.285,6.0,6.0,12.0,0.0,18,7.0,17.92,1.0,_,107.41,34.92287233220604,Yes,0.0,176.26422577485542,High_spent_Medium_value_payments,881.6642742251445,Standard,328.0,0,0
April,26.0,Musician,97791.42,,6.0,6.0,12.0,0.0,19,8.0,15.920000000000002,1.0,Standard,107.41,26.51363149248924,Yes,629.8156531464217,499.24501998175833,Low_spent_Medium_value_payments,588.6834800182418,Good,329.0,0,0
May,26.0,Musician,97791.42,7449.469346853578,6.0,6.0,12.0,0.0,18,,17.92,1.0,_,107.41,38.64911430691306,Yes,629.8156531464217,77.60922833984066,High_spent_Large_value_payments,970.3192716601592,Good,330.0,0,0
June,26.0,Musician,97791.42,7449.469346853578,6.0,6.0,12.0,0.0,16,8.0,17.92,1.0,Standard,107.41,44.6768885939621,Yes,629.8156531464217,108.30393861997324,High_spent_Large_value_payments,939.6245613800266,Good,331.0,0,0
July,26.0,Musician,97791.42,7449.469346853578,6.0,6.0,12.0,0.0,18,8.0,13.920000000000002,1.0,Standard,107.41,28.807349824215013,Yes,629.8156531464217,743.540801271909,,334.38769872809104,Standard,332.0,0,0
August,26.0,Musician,97791.42,7449.469346853578,6.0,6.0,12.0,0.0,18,8.0,17.92,1.0,Standard,107.41,33.89444259920451,Yes,629.8156531464217,110.31820362533672,High_spent_Medium_value_payments,947.6102963746632,Good,333.0,0,0
January,31.0,Entrepreneur,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,52,,9.95,7.0,Bad,2430.21,29.934185732751413,Yes,49.57206224445275,79.17641583265376,Low_spent_Small_value_payments,312.4876885895601,Poor,218.0,5,1
February,31.0,Entrepreneur,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,51,18.0,9.95,7.0,Bad,2430.21,36.6412035787929,,49.57206224445275,55.29821298839304,High_spent_Small_value_payments,306.3658914338209,Poor,219.0,5,1
March,31.0,Entrepreneur,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,48,19.0,15.95,7.0,_,2430.21,37.62486247304565,Yes,49.57206224445275,140.81859591726788,Low_spent_Large_value_payments,230.84550850494605,Poor,,5,1
April,31.0,Entrepreneur,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,51,19.0,9.95,7.0,Bad,2430.21,28.870386917234462,Yes,49.57206224445275,61.42802987477842,High_spent_Small_value_payments,300.23607454743546,Standard,221.0,5,1
May,32.0,Entrepreneur,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,51,19.0,9.95,7.0,Bad,2430.21,28.05884596384257,Yes,49.57206224445275,173.0425507765921,Low_spent_Small_value_payments,218.62155364562184,Poor,,5,1
June,32.0,,19300.34,1512.361666666667,6.0,,17.0,5.0,51,17.0,9.95,8.0,Bad,2430.21,25.84779062032988,Yes,49.57206224445275,83.44744882880191,Low_spent_Large_value_payments,288.21665559341204,Poor,223.0,5,1
July,32.0,Entrepreneur,19300.34,,6.0,7.0,17.0,5.0,51,19.0,8.95,8.0,_,2430.21,25.84314493873217,Yes,56566.0,120.9754898578697,Low_spent_Large_value_payments,250.68861456434425,Poor,224.0,5,1
August,32.0,Entrepreneur,19300.34,1512.361666666667,6.0,7.0,17.0,5.0,53,19.0,9.95,8.0,Bad,2430.21,23.70919322410504,Yes,49.57206224445275,118.1855506983746,Low_spent_Medium_value_payments,263.4785537238393,Standard,225.0,5,1
January,41.0,Musician,19514.88,1828.24,7.0,5.0,17.0,0.0,30,12.0,4.17,2.0,_,881.4,26.084542750932684,,0.0,50.14372713919671,High_spent_Medium_value_payments,382.6802728608033,Standard,231.0,0,0
February,41.0,Musician,19514.88,1828.24,7.0,5.0,17.0,0.0,30,14.0,4.17,2.0,_,881.4,25.665856781285065,No,0.0,10000.0,High_spent_Large_value_payments,381.8960652385857,Standard,232.0,0,0
March,41.0,Musician,19514.88,1828.24,7.0,5.0,17.0,0.0,30,12.0,4.17,2.0,Standard,881.4,33.66946005394869,No,0.0,43.315824459505386,High_spent_Medium_value_payments,389.5081755404946,Standard,233.0,0,0
April,41.0,Musician,19514.88,1828.24,7.0,,17.0,0.0,30,12.0,4.17,2.0,Standard,881.4,34.503707241298585,No,0.0,45.388820313895,High_spent_Medium_value_payments,387.43517968610496,Poor,234.0,0,0
May,41.0,Musician,19514.88,,7.0,5.0,17.0,0.0,30,,4.17,2.0,Standard,881.4,41.17638419789344,No,0.0,168.34146287619103,Low_spent_Small_value_payments,304.48253712380904,Poor,235.0,0,0
June,41.0,,19514.88,,7.0,5.0,17.0,0.0,30,12.0,4.17,2.0,Standard,881.4,38.78807246113495,No,0.0,151.3776397937309,Low_spent_Small_value_payments,321.4463602062691,Poor,236.0,0,0
July,41.0,Musician,19514.88,1828.24,7.0,5.0,17.0,0.0,30,15.0,4.17,2.0,Standard,881.4,27.182482771287628,No,0.0,184.63115997411617,Low_spent_Medium_value_payments,278.1928400258838,Poor,237.0,0,0
August,41.0,Musician,19514.88,,7.0,5.0,,0.0,26,11.0,4.17,4.0,_,881.4,28.781887776659712,No,0.0,99.1415414879628,High_spent_Small_value_payments,343.6824585120372,Poor,238.0,0,0
January,41.0,Media_Manager,10183.015,,7.0,5.0,17.0,5.0,48,,8.969999999999997,6.0,Bad,1672.43,25.951272885300533,Yes,37.58807283812568,14.622739235117402,High_spent_Large_value_payments,295.2476462600903,Poor,121.0,5,1
February,41.0,Media_Manager,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,48,18.0,7.97,6.0,Bad,1672.43,32.38559762083814,,37.58807283812568,92.3619500192958,Low_spent_Small_value_payments,267.5084354759118,Poor,122.0,5,1
March,41.0,Media_Manager,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,48,23.0,7.97,6.0,Bad,1672.43,23.731347914755407,Yes,37.58807283812568,91.88397193610828,Low_spent_Small_value_payments,267.9864135590994,Poor,123.0,5,1
April,41.0,Media_Manager,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,43,20.0,7.97,6.0,_,1672.43,27.61417777754393,Yes,37.58807283812568,46.8104157513052,High_spent_Small_value_payments,283.0599697439025,Standard,124.0,5,1
May,41.0,Media_Manager,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,51,,7.97,6.0,Bad,1672.43,32.29348991062007,Yes,37.58807283812568,65.83126164076859,,294.03912385443914,Poor,125.0,5,1
June,42.0,,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,48,24.0,10.97,1050.0,Bad,1672.43,25.105402554318484,Yes,37.58807283812568,73.89986104079846,Low_spent_Small_value_payments,285.9705244544092,Poor,126.0,5,1
July,42.0,Media_Manager,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,52,21.0,7.97,6.0,_,1672.43,24.713823993258373,Yes,37.58807283812568,61.86372757802612,Low_spent_Small_value_payments,298.00665791718154,Poor,127.0,5,1
August,42.0,Media_Manager,10183.015,1074.5845833333333,7.0,5.0,17.0,5.0,48,21.0,7.97,6.0,Bad,1672.43,36.83702882243363,Yes,37.58807283812568,71.12274735436063,Low_spent_Small_value_payments,288.747638140847,Poor,128.0,5,1
January,19.0,Entrepreneur,106733.13,8873.4275,4.0,4.0,1.0,0.0,10,8.0,0.86,0.0,_,76.23,29.815895626895166,No,0.0,388.36035366098815,Low_spent_Large_value_payments,768.9823963390119,Good,393.0,0,0
February,20.0,Entrepreneur,106733.13,8873.4275,4.0,4.0,1.0,0.0,5,7.0,,0.0,_,76.23,28.10808628993924,No,0.0,807.2067768357648,Low_spent_Small_value_payments,370.1359731642354,Good,394.0,0,0
March,20.0,Entrepreneur,106733.13,8873.4275,4.0,4.0,,0.0,2,6.0,0.86,0.0,Good,76.23,42.070458602150005,No,0.0,172.03282853259896,High_spent_Large_value_payments,955.3099214674012,Good,395.0,0,0
April,20.0,Entrepreneur,106733.13,,4.0,4.0,1.0,0.0,5,7.0,-4.14,0.0,Good,76.23,25.84254793986021,No,0.0,644.2873937406405,Low_spent_Large_value_payments,513.0553562593595,Good,396.0,0,0
May,20.0,Entrepreneur,106733.13,8873.4275,4.0,4.0,1.0,,5,6.0,0.86,0.0,Good,76.23,28.8205537792444,No,0.0,345.609135410684,High_spent_Medium_value_payments,791.733614589316,Good,397.0,0,0
June,20.0,Entrepreneur,106733.13,8873.4275,4.0,4.0,1.0,0.0,5,6.0,-0.14,0.0,Good,76.23,31.72760359530652,No,0.0,,High_spent_Medium_value_payments,913.0316546874346,Standard,,0,0
July,20.0,Entrepreneur,106733.13,8873.4275,4.0,4.0,1.0,0.0,9,4.0,0.86,1.0,_,76.23,43.6651184057441,No,0.0,191.03537260177933,High_spent_Large_value_payments,936.3073773982208,Standard,,0,0
August,20.0,Entrepreneur,106733.13,8873.4275,4.0,4.0,1.0,0.0,7,6.0,0.86,1.0,Good,76.23,39.24363977621796,No,0.0,384.7637247797149,,792.5790252202852,Standard,400.0,0,0
January,31.0,Lawyer,12600.445,782.0370833333334,5.0,5.0,10.0,,28,19.0,15.79,7.0,_,569.8,33.07588356651339,Yes,26.060347529205966,0.0,High_spent_Large_value_payments,284.2982044805207,Standard,147.0,3,1
February,31.0,Lawyer,12600.445,782.0370833333334,5.0,5.0,10.0,,25,18.0,15.79,7.0,Standard,569.8,38.15374125597254,Yes,26.060347529205966,103.1586179144364,Low_spent_Small_value_payments,238.98474288969095,Standard,148.0,3,1
March,31.0,Lawyer,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,25,16.0,15.79,7.0,Standard,569.8,23.17983273627976,Yes,26.060347529205966,32.02630794260436,Low_spent_Small_value_payments,310.117052861523,Standard,149.0,3,1
April,32.0,,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,25,18.0,15.79,,Standard,569.8,28.819407058304,Yes,33746.0,31.14919791081519,Low_spent_Medium_value_payments,300.9941628933122,Poor,150.0,3,1
May,32.0,Lawyer,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,20,19.0,15.79,7.0,Standard,569.8,37.24021434251173,Yes,26.060347529205966,41.0826367012432,Low_spent_Small_value_payments,301.0607241028842,Poor,151.0,3,1
June,32.0,Lawyer,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,25,19.0,15.79,7.0,Standard,569.8,36.52748004014412,Yes,26.060347529205966,48.00806665619237,Low_spent_Small_value_payments,294.135294147935,Poor,152.0,3,1
July,32.0,Lawyer,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,25,20.0,21.79,7.0,Standard,569.8,34.125305925956305,Yes,26.060347529205966,56.90889585970557,Low_spent_Medium_value_payments,275.2344649444218,Poor,,3,1
August,32.0,Lawyer,12600.445,782.0370833333334,5.0,5.0,10.0,3.0,25,19.0,15.79,11.0,Standard,569.8,31.978873515820705,Yes,26.060347529205966,66.37358000122424,Low_spent_Small_value_payments,275.76978080290314,Poor,154.0,3,1
January,34.0,Mechanic,57983.12,4720.926666666667,9.0,8.0,31.0,8.0,47,19.0,7.27,12.0,Bad,3532.83,32.321769461626175,Yes,200.43261339470683,265.70621194860047,Low_spent_Small_value_payments,295.95384132335937,Poor,,8,1
February,34.0,Mechanic,57983.12,,9.0,8.0,31.0,8.0,53,21.0,7.27,1044.0,Bad,3532.83,37.87364186839308,Yes,200.43261339470683,193.8733754293324,High_spent_Medium_value_payments,327.78667784262745,Standard,147.0,8,1
March,34.0,Mechanic,57983.12,4720.926666666667,9.0,8.0,31.0,8.0,48,,7.27,17.0,Bad,3532.83,37.81024308787287,Yes,200.43261339470683,534.3581783879267,Low_spent_Small_value_payments,27.301874884033168,Poor,148.0,8,1
April,34.0,Mechanic,57983.12,,9.0,8.0,31.0,8.0,48,22.0,7.27,17.0,_,3532.83,32.56739683731984,Yes,200.43261339470683,197.6404955281,High_spent_Medium_value_payments,324.0195577438599,Poor,149.0,8,1
May,34.0,Mechanic,57983.12,4720.926666666667,9.0,8.0,31.0,8.0,48,21.0,10.27,17.0,Bad,3532.83,37.28428974024728,Yes,200.43261339470683,205.25015227427863,Low_spent_Small_value_payments,356.4099009976813,Poor,150.0,8,1
June,34.0,Mechanic,57983.12,4720.926666666667,9.0,8.0,31.0,8.0,46,21.0,7.27,17.0,Bad,3532.83,35.25737829905026,Yes,200.43261339470683,626.869242023209,Low_spent_Small_value_payments,,Standard,151.0,8,1
July,34.0,Mechanic,57983.12,4720.926666666667,9.0,8.0,31.0,8.0,49,21.0,7.27,1936.0,Bad,3532.83,24.63149693005803,Yes,200.43261339470683,234.73204010983815,Low_spent_Medium_value_payments,316.9280131621217,Standard,152.0,8,1
August,34.0,Mechanic,57983.12,4720.926666666667,9.0,8.0,31.0,8.0,48,24.0,7.27,,_,3532.83,24.726351303352534,Yes,200.43261339470683,159.13672195005464,High_spent_Medium_value_payments,362.5233313219053,Poor,153.0,8,1
January,48.0,Entrepreneur,20787.69,1999.3075,8.0,6.0,14.0,3.0,22,14.0,1.13,3.0,Standard,614.6,23.723185779641085,No,42.22199265643221,10000.0,Low_spent_Small_value_payments,253.3256223508209,Standard,214.0,3,1
February,48.0,,20787.69,1999.3075,8.0,6.0,14.0,3.0,24,,1.13,3.0,Standard,614.6,34.235852681958825,No,42.22199265643221,82.62718037237505,Low_spent_Large_value_payments,345.0815769711927,Standard,215.0,3,1
March,48.0,,20787.69,1999.3075,8.0,6.0,14.0,3.0,22,,1.13,3.0,Standard,614.6,22.80214523254044,No,42.22199265643221,110.17209563183977,Low_spent_Small_value_payments,337.536661711728,Standard,,3,1
April,48.0,Entrepreneur,20787.69,,8.0,6.0,14.0,3.0,22,12.0,1.13,3.0,Standard,614.6,37.06719824335469,No,42.22199265643221,89.87484896281485,Low_spent_Large_value_payments,337.83390838075286,Standard,217.0,3,1
May,48.0,Entrepreneur,20787.69,,8.0,6.0,14.0,3.0,22,14.0,-2.87,3.0,Standard,614.6,29.339029437569323,No,42.22199265643221,155.4609440434731,Low_spent_Small_value_payments,292.24781330009466,Standard,218.0,3,1
June,48.0,Entrepreneur,20787.69,1999.3075,8.0,6.0,14.0,3.0,22,14.0,1.13,3.0,_,614.6,30.4424252235854,No,42.22199265643221,28.63736093576957,High_spent_Large_value_payments,369.07139640779815,Standard,,3,1
July,48.0,Entrepreneur,20787.69,1999.3075,8.0,6.0,14.0,3.0,23,14.0,1.13,3.0,Standard,614.6,26.11024341981501,No,42.22199265643221,258.21517380152807,Low_spent_Small_value_payments,189.4935835420397,Standard,,3,1
August,48.0,Entrepreneur,20787.69,1999.3075,8.0,,14.0,3.0,22,14.0,8.129999999999999,3.0,_,614.6,35.344187616472155,No,42.22199265643221,21.74553122931893,High_spent_Large_value_payments,375.96322611424887,Standard,221.0,3,1
January,30.0,Writer,34290.12,2697.51,9.0,8.0,25.0,7.0,52,10.0,17.96,9.0,Standard,2686.81,39.28029558815228,,185.1119825795006,248.06995733765265,Low_spent_Large_value_payments,106.56906008284685,Poor,164.0,7,1
February,30.0,Writer,34290.12,2697.51,9.0,8.0,25.0,7.0,47,,13.96,9.0,Standard,2686.81,27.036842290717487,,185.1119825795006,10000.0,Low_spent_Large_value_payments,196.5585016421765,Standard,,7,1
March,30.0,Writer,34290.12,2697.51,9.0,8.0,25.0,7.0,52,6.0,12.96,9.0,_,2686.81,29.01885042597808,Yes,185.1119825795006,60.58953609088056,High_spent_Medium_value_payments,274.0494813296189,Standard,,7,1
April,30.0,Writer,34290.12,,9.0,8.0,25.0,,52,7.0,13.96,9.0,Standard,2686.81,36.16398913486826,,185.1119825795006,99.47477403683122,Low_spent_Large_value_payments,255.16424338366824,Poor,167.0,7,1
May,30.0,,34290.12,2697.51,9.0,8.0,25.0,7.0,52,12.0,13.96,9.0,_,2686.81,33.841866041473175,Yes,185.1119825795006,330.071842181316,Low_spent_Small_value_payments,44.56717523918351,Poor,168.0,7,1
June,30.0,Writer,34290.12,2697.51,9.0,8.0,25.0,7.0,52,12.0,13.96,9.0,_,2686.81,24.222554856393263,Yes,185.1119825795006,108.94691107774382,High_spent_Medium_value_payments,225.6921063427557,Poor,169.0,7,1
July,30.0,Writer,34290.12,2697.51,9.0,8.0,25.0,7.0,52,12.0,13.96,13.0,Standard,2686.81,35.11893274172206,Yes,185.1119825795006,224.09320407033417,,150.5458133501653,Standard,170.0,7,1
August,30.0,Writer,34290.12,,9.0,,25.0,7.0,52,9.0,13.96,13.0,_,2686.81,36.82064895309465,Yes,185.1119825795006,94.91721648288956,High_spent_Small_value_payments,249.72180093760983,Poor,171.0,7,1
January,32.0,Accountant,43070.24,,3.0,3.0,18.0,1.0,11,8.0,8.97,4.0,Standard,1233.1,27.980700663802917,Yes,30.57608482316153,397.00224891024857,Low_spent_Small_value_payments,224.64033293325656,Standard,230.0,1,1
February,32.0,Accountant,43070.24,3622.186666666666,3.0,3.0,18.0,1.0,13,8.0,14.97,4.0,Standard,1233.1,28.0712918599624,Yes,30.57608482316153,443.9186741720723,Low_spent_Small_value_payments,177.7239076714328,Standard,231.0,1,1
